BioSample	Run
SAMEA2534703	ERR552519
SAMN07236263	SRR5709792
SAMEA2517444	ERR498387
SAMEA2534888	ERR552764
SAMN08709158	SRR6832644
SAMEA2535199	ERR553186
SAMEA2534413	ERR552102
SAMEA897765	ERR036205
SAMN07236535	SRR11828982
SAMEA2534564	ERR552321
SAMN07236540	SRR5710028
SAMEA2534220	ERR551826
SAMN08629445	SRR6797645
SAMN02414975	SRR1162812
SAMEA3558135	ERR1213850
SAMEA897772	ERR036204
SAMN41455187	SRR29081638
SAMN03648974	SRR2101727
SAMEA2535077	ERR553022
SAMEA2534056	ERR551595
SAMN07236315	SRR5709896
SAMN07236519	SRR5709892
SAMEA2534263	ERR551882
SAMN02414959	SRR1162873
SAMEA2535125	ERR553082
SAMN07236521	SRR5709890
SAMEA2534273	ERR551894
SAMN18498636	SRR14088375
SAMEA2535113	ERR553068
SAMEA112188775	ERR10748181
SAMEA2534126	ERR551694
SAMN41597979	SRR29231308
SAMN07236520	SRR5709889
SAMEA2534925	ERR552818
SAMEA2533583	ERR550946
SAMN07236533	SRR5709884
SAMEA2534314	ERR551956
SAMEA3558157	ERR1213872
SAMEA2533484	ERR550806
SAMEA104394653	ERR2200072
SAMN02414847	SRR1162707
SAMEA2533570	ERR550928
SAMEA2533993	ERR551509
SAMEA2535298	ERR553313
SAMEA2534496	ERR552225
SAMEA104394423	ERR2199797
SAMEA115746607	ERR13285418
SAMEA104394511	ERR2199907
SAMN08629328	SRR6797704
SAMEA2535005	ERR552926
SAMEA3558226	ERR1034693
SAMN02419618	SRR1163296
SAMN08629376	SRR6797382
SAMN07236526	SRR11828976
SAMN02414986	SRR1162959
SAMEA2534634	ERR552417
SAMEA2517417	ERR498353
SAMEA2533962	ERR551466
SAMN03647532	SRR2467270
SAMN07236527	SRR5709900
SAMEA897837	ERR036240
SAMN08629351	SRR6797289
SAMN02419669	SRR1166908
SAMEA13294826	ERR9121554
SAMEA2534977	ERR552882
SAMEA961581	ERR025839
SAMEA961582	ERR025838
SAMN09651748	SRR7516376
SAMN07236270	SRR5709756
SAMN04385661	SRR3085275
SAMN08629326	SRR6797706
SAMEA3558151	ERR1213866
SAMN41598184	SRR29231520
SAMEA2534631	ERR552409
SAMN41403650	SRR29037031
SAMEA104394663	ERR2200083
SAMEA3558192	ERR1034659
SAMEA1556847	ERR181844
SAMN08732254	SRR6855758
SAMEA2533419	ERR550718
SAMN04385762	SRR3082119
SAMEA3558196	ERR1034663
SAMEA2534474	ERR552191
SAMN41468361	SRR29093116
SAMN07236261	SRR11828975
SAMEA2535315	ERR553334
SAMN04385632	SRR3085302
SAMN08732167	SRR6856084
SAMEA2533390	ERR550684
SAMEA1485288	ERR161188
SAMEA2533992	ERR551506
SAMN13169657	SRR10380093
SAMN07236297	SRR5709990
SAMN02419610	SRR1163329
SAMEA897780	ERR036199
SAMN04385664	SRR3085278
SAMEA2535287	ERR553300
SAMN41468363	SRR29093112
SAMN02419668	SRR1163431
SAMEA2533636	ERR551015
SAMEA2533862	ERR551332
SAMN02414954	SRR1166875
SAMEA897758	ERR036201
SAMEA2534642	ERR552429
SAMEA1530627	ERR176611
SAMN03648980	SRR2101733
SAMEA1688506	ERR221593
SAMEA1485236	ERR161061
SAMN04385777	SRR3082136
SAMEA2535188	ERR553170
SAMEA13299802	ERR9125045
SAMN41415593	SRR29049029
SAMN02419658	SRR1166917
SAMN02419654	SRR1163338
SAMN02419641	SRR1163303
SAMEA897848	ERR036217
SAMN02419638	SRR1163354
SAMEA2517422	ERR498366
SAMN07236306	SRR5710011
SAMN02419622	SRR1163412
SAMN02419666	SRR1163287
SAMN09651722	SRR7516404
SAMN41415595	SRR29049024
SAMN09651729	SRR7516407
SAMN07236265	SRR5709794
SAMEA13300425	ERR9125668
SAMEA1485319	ERR161086
SAMN04385685	SRR3085301
SAMEA2534301	ERR551935
SAMEA897771	ERR036203
SAMEA3558191	ERR1034658
SAMN13207936	SRR10397205
SAMEA2534389	ERR552064
SAMN08436223	SRR6650206
SAMEA2534623	ERR552398
SAMEA2533519	ERR550848
SAMN07236311	SRR5710024
SAMEA897762	ERR036208
SAMEA2533840	ERR551292
SAMEA3558218	ERR1034685
SAMEA897861	ERR036227
SAMN07236264	SRR5709795
SAMEA1485362	ERR161109
SAMEA2534178	ERR551764
SAMN02414846	SRR1165468
SAMEA2534798	ERR552652
SAMEA897811	ERR036221
SAMEA36314668	ERR11083067
SAMEA3558164	ERR1213879
SAMN02419657	SRR1163286
SAMN02419656	SRR1163299
SAMN04385755	SRR3082112
SAMEA2534699	ERR552513
SAMN41597989	SRR29230972
SAMEA3558228	ERR1034695
SAMN02419624	SRR1163363
SAMEA2534335	ERR551991
SAMN08436172	SRR6650372
SAMN08436171	SRR6650371
SAMN08436238	SRR6650257
SAMEA2534248	ERR551861
SAMN08795279	SRR6896551
SAMN03647308	SRR2100135
SAMN02419679	SRR1163380
SAMEA2517425	ERR498371
SAMN21857596	SRR16089839
SAMN02419646	SRR1163365
SAMN02414900	SRR1163039
SAMEA961584	ERR025836
SAMN04385765	SRR3082123
SAMN13169688	SRR10380054
SAMEA1530875	ERR176598
SAMN13169744	SRR10380227
SAMN02419644	SRR1163386
SAMEA115745397	ERR13284187
SAMN02419686	SRR1163452
SAMEA3558167	ERR1213882
SAMN02419632	SRR1163371
SAMN08143491	SRR6356981
SAMN08732518	SRR6855679
SAMEA2517424	ERR498370
SAMEA2535341	ERR10849241
SAMN03648976	SRR2101729
SAMN02419667	SRR1163406
SAMEA2535278	ERR2200086
SAMEA13300646	ERR9125889
SAMN08436159	SRR6650149
SAMN02419685	SRR1163407
SAMN08636983	SRR6807727
SAMEA897844	ERR036241
SAMN07236279	SRR11828992
SAMEA11006704	ERR7362040
SAMN02419627	SRR1163430
SAMN02419649	SRR1163405
SAMN02414964	SRR1163483
SAMN07236299	SRR11828985
SAMEA2535021	ERR552947
SAMN02419650	SRR1163349
SAMN02419660	SRR1163373
SAMEA2534181	ERR551770
SAMEA7546307	ERR4812802
SAMN41415596	SRR29049034
SAMEA104362069	ERR2184228
SAMN20693342	SRR16370315
SAMN41598306	SRR29231469
SAMEA3558195	ERR1034662
SAMEA2535098	ERR553050
SAMEA1485231	ERR161069
SAMEA897898	ERR036220
SAMEA3558186	ERR1034653
SAMEA115745229	ERR13284021
SAMN02419659	SRR1163397
SAMN02419630	SRR1163421
SAMN13169502	SRR10379998
SAMN02419655	SRR1163423
SAMN13169735	SRR10379904
SAMN20693269	SRR16370396
SAMEA3558223	ERR1034690
SAMEA104362087	ERR2184246
SAMN07236255	SRR5709912
SAMEA897845	ERR036218
SAMEA104362169	ERR2184328
SAMN41389305	SRR29017182
SAMN08629323	SRR6797703
SAMN41403654	SRR29037020
SAMEA3558233	ERR1034700
SAMN41468725	SRR29093535
SAMN02419604	SRR1166916
SAMEA961608	ERR025834
SAMN04385764	SRR3082121
SAMN04385784	SRR3082107
SAMEA3558138	ERR1213853
SAMEA104362260	ERR2184419
SAMN13169557	SRR10379945
SAMN13169638	SRR10380026
SAMN43779983	SRR30673375
SAMN03647561	SRR2100388
SAMN02419680	SRR1166911
SAMN43779901	SRR30673508
SAMN04385775	SRR3082134
SAMN02419675	SRR1163387
SAMEA3558201	ERR1213916
SAMN03648970	SRR2101723
SAMEA2517426	ERR498372
SAMEA897759	ERR036200
SAMN08637007	SRR6807694
SAMEA2534309	ERR551946
SAMEA3558188	ERR1034655
SAMN07236331	SRR11828984
SAMN09088061	SRR7130777
SAMN41389486	SRR29017418
SAMEA2533407	ERR550703
SAMEA2533628	ERR551006
SAMN02419678	SRR1163399
SAMEA3558215	ERR1034682
SAMN07236290	SRR5709780
SAMEA3558190	ERR1034657
SAMEA3558214	ERR1034681
SAMEA2535126	ERR553085
SAMEA5569759	ERR3287566
SAMEA2534661	ERR552457
SAMN34257500	SRR24222920
SAMEA897829	ERR036239
SAMN21857206	SRR16089634
SAMEA2534018	ERR551548
SAMN07236352	SRR5709920
SAMN27763638	SRR18912068
SAMEA2534433	ERR552130
SAMN08912728	SRR6982540
SAMN13169757	SRR10380192
SAMN43780651	SRR30673206
SAMEA2534464	ERR552177
SAMEA3558132	ERR1213847
SAMN03648971	SRR2101724
SAMEA13300218	ERR9125461
SAMEA3558133	ERR1213848
SAMN08629304	SRR6797397
SAMN02419642	SRR1163393
SAMN02419676	SRR1163326
SAMEA897778	ERR036188
SAMEA2533959	ERR551460
SAMEA36325168	ERR1768642
SAMN08637053	SRR6807763
SAMN08636982	SRR6807728
SAMN43779925	SRR30673242
SAMEA961609	ERR025835
SAMN02419620	SRR1163368
SAMEA3558212	ERR1213927
SAMEA3558137	ERR1213852
SAMEA2533860	ERR551327
SAMN13169710	SRR10380108
SAMN03648080	SRR2100907
SAMEA3558171	ERR1034638
SAMEA3558234	ERR1034701
SAMN41455399	SRR29094464
SAMEA104362153	ERR2184312
SAMEA3558180	ERR1034647
SAMN13169727	SRR10380244
SAMEA2533555	ERR550909
SAMEA897902	ERR036213
SAMEA13294887	ERR9121618
SAMN07236318	SRR5709863
SAMEA115745364	ERR13284156
SAMEA5570005	ERR3287811
SAMEA2533346	ERR550624
SAMEA104394413	ERR2199785
SAMN04385757	SRR3082114
SAMN02419639	SRR1163376
SAMEA2533836	ERR551288
SAMN04385774	SRR3082132
SAMN20693270	SRR16370395
SAMEA2533518	ERR550852
SAMN02419608	SRR1163317
SAMN02419672	SRR1163315
SAMN04385634	SRR3085324
SAMN41389615	SRR29017405
SAMN13207954	SRR10397163
SAMEA104362268	ERR2184427
SAMN02419677	SRR1163416
SAMN04385648	SRR3085261
SAMEA897761	ERR036209
SAMN21880284	SRR16097548
SAMN03648978	SRR2101731
SAMEA961583	ERR025837
SAMEA2533997	ERR551519
SAMEA897849	ERR036222
SAMN02414919	SRR1163094
SAMN02419636	SRR1163291
SAMEA104362262	ERR2184421
SAMN41389428	SRR29017696
SAMN02419651	SRR1163298
SAMEA104362508	ERR2184667
SAMEA3558136	ERR1213851
SAMN41455345	SRR29094409
SAMEA5569697	ERR3287504
SAMEA104362063	ERR2184222
SAMEA13300061	ERR9125305
SAMEA5569539	ERR3287346
SAMN02419612	SRR1163404
SAMN02419605	SRR1163347
SAMEA897854	ERR036247
SAMEA112188979	ERR10748385
SAMN08913188	SRR6982072
SAMEA3558187	ERR1034654
SAMEA2533646	ERR551028
SAMEA104362427	ERR2184586
SAMN41455347	SRR29094406
SAMN43779998	SRR30673361
SAMN04385763	SRR3082120
SAMEA897873	ERR036225
SAMEA5569750	ERR3287557
SAMEA3558172	ERR1034639
SAMEA3558129	ERR1213844
SAMEA897802	ERR036186
SAMEA897776	ERR036197
SAMEA3558178	ERR1034645
SAMEA3558110	ERR1213825
SAMN04385782	SRR3082141
SAMEA104362172	ERR2184331
SAMEA3558181	ERR1034648
SAMEA3558153	ERR1213868
SAMEA2534028	ERR551561
SAMEA897839	ERR036249
SAMEA13299902	ERR9125146
SAMEA3558232	ERR1034699
SAMN41598970	SRR29231825
SAMEA104362376	ERR2184535
SAMEA5569520	ERR3287327
SAMEA5569681	ERR3287488
SAMEA3558124	ERR1213839
SAMN02419611	SRR1163332
SAMEA5569904	ERR3287711
SAMEA897889	ERR036238
SAMN41597938	SRR29231411
SAMEA5569995	ERR3287801
SAMEA112188985	ERR10748391
SAMEA897832	ERR036234
SAMEA897800	ERR036193
SAMEA5569798	ERR3287605
SAMN04385675	SRR3085290
SAMEA3558179	ERR1034646
SAMEA961610	ERR025833
SAMN07236260	SRR5709799
SAMEA897862	ERR036228
SAMEA3558177	ERR1034644
SAMN08912729	SRR6982541
SAMEA104362473	ERR2184632
SAMN07236286	SRR5710015
SAMN07236295	SRR5709991
SAMEA5569998	ERR3287804
SAMEA5569803	ERR3287610
SAMEA5569751	ERR3287558
SAMN34257473	SRR24223042
SAMEA3558111	ERR1213826
SAMEA3558117	ERR1213832
SAMEA112189129	ERR10748535
SAMEA3558216	ERR1034683
SAMEA2533933	ERR551425
SAMN41421689	SRR29055951
SAMEA3558176	ERR1034643
SAMN13208015	SRR10397096
SAMN04385649	SRR3085262
SAMEA7546545	ERR4813040
SAMEA2533859	ERR551326
SAMEA104362303	ERR2184462
SAMN13169748	SRR10380223
SAMN07236302	SRR5709803
SAMEA5569694	ERR3287501
SAMEA3558150	ERR1213865
SAMEA897860	ERR036226
SAMEA2534266	ERR551885
SAMEA897847	ERR036216
SAMEA104362198	ERR2184357
SAMEA897859	ERR036245
SAMEA5569801	ERR3287608
SAMEA3558213	ERR1034680
SAMN02414970	SRR1166935
SAMN02419621	SRR1163414
SAMEA104362319	ERR2184478
SAMEA5569997	ERR3287803
SAMEA115744507	ERR13275912
SAMEA2533795	ERR551236
SAMEA3558206	ERR1213921
SAMN02419607	SRR1163309
SAMEA3558225	ERR1213940
SAMEA2533532	ERR550871
SAMEA2535270	ERR553280
SAMN02419662	SRR1163325
SAMN03647131	SRR2099958
SAMN03647217	SRR2100044
SAMN03648284	SRR2101037
SAMEA104362334	ERR2184493
SAMN02419681	SRR1163304
SAMN13169515	SRR10380186
SAMEA1569255	ERR212060
SAMEA3558123	ERR1213838
SAMEA5569827	ERR3287634
SAMEA104362495	ERR2184654
SAMN41471646	SRR29096506
SAMEA5570051	ERR3287857
SAMN41598442	SRR29231430
SAMEA104362086	ERR2184245
SAMEA5569510	ERR3287317
SAMN04385772	SRR3082130
SAMEA2533483	ERR550804
SAMEA3558131	ERR1213846
SAMN41455375	SRR29094371
SAMN03648095	SRR2100922
SAMEA961640	ERR025847
SAMEA897831	ERR036248
SAMEA115745390	ERR13284179
SAMEA897875	ERR036230
SAMEA897906	ERR036235
SAMEA3558120	ERR1213835
SAMEA3558211	ERR1213926
SAMEA3558170	ERR1034637
SAMEA897891	ERR036229
SAMEA3558146	ERR1213861
SAMEA897878	ERR036231
SAMEA3558114	ERR1213829
SAMEA3558145	ERR1213860
SAMN07236257	SRR5710013
SAMN02419614	SRR1169073
SAMN03647140	SRR2099967
SAMEA3558208	ERR1213923
SAMEA897853	ERR036246
SAMN20693572	SRR16370560
SAMEA2534994	ERR552913
SAMEA3558143	ERR1213858
SAMEA1556514	ERR181766
SAMEA2533995	ERR551517
SAMEA2534361	ERR552026
SAMEA2533662	ERR551049
SAMEA7545753	ERR4812249
SAMN13169484	SRR10380219
SAMN09651713	SRR7516420
SAMEA5569978	ERR3287784
SAMEA897857	ERR036243
SAMEA3558119	ERR1213834
SAMEA3558139	ERR1213854
SAMEA3558419	ERR1034886
SAMEA5569828	ERR3287635
SAMEA2533593	ERR550957
SAMEA5569651	ERR3287458
SAMN04385752	SRR3082108
SAMN02414983	SRR1162888
SAMEA3558147	ERR1213862
SAMEA5569632	ERR3287439
SAMN07360948	SRR5837710
SAMN04385635	SRR3085325
SAMEA3558128	ERR1213843
SAMN41471766	SRR29096828
SAMEA3558144	ERR1213859
SAMEA115745180	ERR13281463
SAMN02419643	SRR1169001
SAMN02419617	SRR1168981
SAMEA5569996	ERR3287802
SAMN02419634	SRR1163392
SAMEA3558210	ERR1213925
SAMN21857514	SRR16089669
SAMEA104362398	ERR2184557
SAMN13169498	SRR10379988
SAMEA3558325	ERR1034792
SAMEA961641	ERR025848
SAMEA7546866	ERR4813361
SAMEA5569879	ERR3287686
SAMN07236309	SRR11828977
SAMEA3558162	ERR1213877
SAMN13208027	SRR10397263
SAMEA3558174	ERR1034641
SAMEA3558126	ERR1213841
SAMN02419661	SRR1168987
SAMEA7545743	ERR4812239
SAMN22322590	SRR16503843
SAMN07236349	SRR11828981
SAMEA6990826	ERR4276869
SAMEA897905	ERR036236
SAMEA5569891	ERR3287698
SAMN41468334	SRR29093938
SAMN41597990	SRR29230970
SAMEA2533447	ERR2815550
SAMN02419664	SRR1168992
SAMEA5569642	ERR3287449
SAMN02419635	SRR1169064
SAMN21881830	SRR16099292
SAMEA5570060	ERR3287866
SAMEA3558207	ERR1213922
SAMEA5569880	ERR3287687
SAMN41389515	SRR29016838
SAMEA3558122	ERR1213837
SAMN02419628	SRR1169027
SAMEA5569575	ERR3287382
SAMEA897777	ERR036187
SAMN41597912	SRR29231503
SAMN13051719	SRR10303346
SAMEA897850	ERR036223
SAMEA897775	ERR036196
SAMEA3558221	ERR1213936
SAMEA3558209	ERR1213924
SAMEA9070147	ERR6362139
SAMEA7545766	ERR4812262
SAMEA3558118	ERR1213833
SAMEA3558140	ERR1213855
SAMEA897846	ERR036219
SAMEA3558158	ERR1213873
SAMN02419637	SRR1169102
SAMEA3558168	ERR1213883
SAMEA3558464	ERR1034931
SAMN21880281	SRR16097552
SAMEA115745142	ERR13276422
SAMEA3558112	ERR1213827
SAMN43780283	SRR30673269
SAMEA897774	ERR036195
SAMEA897877	ERR036232
SAMN04385750	SRR3082105
SAMN08629345	SRR6797286
SAMEA5569854	ERR3287661
SAMEA3558127	ERR1213842
SAMEA3558141	ERR1213856
SAMEA897858	ERR036244
SAMEA5570067	ERR3287873
SAMEA1018900	ERR046772
SAMN02419629	SRR1169129
SAMEA115745358	ERR13284152
SAMEA115745675	ERR13284466
SAMEA3558173	ERR1034640
SAMEA5569971	ERR3287777
SAMN04385647	SRR3085260
SAMEA897826	ERR036206
SAMEA3558154	ERR1213869
SAMEA3558121	ERR1213836
SAMN20693535	SRR16370600
SAMEA897805	ERR036190
SAMEA13294523	ERR9121230
SAMEA3558175	ERR1034642
SAMEA3558115	ERR1213830
SAMEA9070157	ERR5987187
SAMEA112806696	ERR11083065
SAMEA961586	ERR025843
SAMN04385654	SRR3085267
SAMEA6451257	ERR3794361
SAMEA3558142	ERR1213857
SAMEA897768	ERR036212
SAMEA9070145	ERR6362146
SAMEA3558130	ERR1213845
SAMN13207943	SRR10397175
SAMEA13294720	ERR9121440
SAMEA3558166	ERR1213881
SAMN41598989	SRR29231804
SAMN02419616	SRR1169116
SAMEA897804	ERR036191
SAMN41418011	SRR29053394
SAMN41471551	SRR29096925
SAMEA3558109	ERR1213824
SAMN41597977	SRR29231549
SAMN03647262	SRR2467265
SAMEA961585	ERR025844
SAMEA115746649	ERR13285465
SAMEA2533858	ERR551324
SAMN03653304	SRR2024886
SAMN03647578	SRR2100405
SAMEA961587	ERR025842
SAMN41598839	SRR29231561
SAMN13169468	SRR10379893
SAMEA3558113	ERR1213828
SAMEA115744782	ERR13276092
SAMN13169488	SRR10380218
SAMEA7547005	ERR4813499
SAMN41598981	SRR29231813
SAMN04385671	SRR3085286
SAMEA7423538	ERR4872249
SAMEA3558185	ERR1213900
SAMEA961579	ERR025846
SAMEA3558125	ERR1213840
SAMEA897801	ERR036192
SAMN20693490	SRR16370650
SAMEA3558235	ERR1213950
SAMN41598341	SRR29230906
SAMEA115746034	ERR13284799
SAMEA95497918	ERR1873463
SAMEA115745178	ERR13281461
SAMN07236308	SRR11828978
SAMEA3558116	ERR1213831
SAMN07236303	SRR5709903
SAMEA7423440	ERR4872246
SAMN41598202	SRR29231500
SAMN03653313	SRR2024896
SAMEA7546308	ERR4812803
SAMN41598782	SRR29231007
SAMN41598808	SRR29230795
SAMEA3558149	ERR1213864
SAMEA3558169	ERR1213884
SAMEA112806685	ERR11083054
SAMEA3558159	ERR1213874
SAMEA115745128	ERR13276406
SAMEA7423365	ERR4872217
SAMN03653261	SRR2024959
SAMEA897864	ERR036214
SAMEA115746391	ERR13285182
SAMN03653285	SRR2024985
SAMEA7423373	ERR4872167
SAMEA3558183	ERR1213898
SAMN03653290	SRR2024991
SAMN03653268	SRR2024966
SAMN03653220	SRR2024914
SAMEA897856	ERR036242
SAMEA3558160	ERR1213875
SAMN07236305	SRR11828979
SAMEA7546188	ERR4812683
SAMEA114089380	ERR11775011
SAMN03653241	SRR2024937
SAMN07236285	SRR5710016
SAMEA3558148	ERR1213863
SAMN32938664	SRR23252671
SAMN03653235	SRR2024930
SAMN03653253	SRR2024950
SAMEA897769	ERR036202
SAMN03653224	SRR2024918
SAMN43780393	SRR30673583
SAMEA2533476	ERR550797
SAMN07236385	SRR5709809
SAMEA115745505	ERR13284294
SAMN28552765	SRR19318143
SAMEA3558182	ERR1213897
SAMN03653206	SRR2024957
SAMEA13299666	ERR9124909
SAMEA3558184	ERR1034651
SAMEA115745504	ERR13284293
SAMEA6990827	ERR4276868
SAMN03653210	SRR2024881
SAMN03653252	SRR2024949
SAMN03653219	SRR2024912
SAMN03653207	SRR2024968
SAMEA115746665	ERR13285484
SAMN03653251	SRR2024948
SAMN03653212	SRR2024903
SAMEA7542379	ERR4810804
SAMEA3558134	ERR1213849
SAMN03653293	SRR2024994
SAMN03653245	SRR2024941
SAMN03653273	SRR2024972
SAMN03653311	SRR2024894
SAMEA897779	ERR036189
SAMN43780480	SRR30673752
SAMEA7543872	ERR4810813
SAMEA114089876	ERR11773808
SAMN43780450	SRR30673225
SAMN03653213	SRR2024906
SAMN03653203	SRR2024924
SAMN03653286	SRR2024986
SAMN03653299	SRR2025000
SAMN03653288	SRR2024988
SAMN03653239	SRR2024934
SAMN03653298	SRR2024999
SAMEA1708422	ERR245826
SAMN03653271	SRR2024970
SAMEA13299882	ERR9125126
SAMEA115745005	ERR13276286
SAMN03653292	SRR2024993
SAMN03653216	SRR2024909
SAMN03653276	SRR2024975
SAMN03653302	SRR2024884
SAMN43780510	SRR30673713
SAMN03653205	SRR2024946
SAMN03653321	SRR2024905
SAMN03653217	SRR2024910
SAMN03653291	SRR2024992
SAMEA787730	ERR038751
SAMN03653255	SRR2024952
SAMN03653314	SRR2024897
SAMEA7543868	ERR4810809
SAMN03653240	SRR2024936
SAMN03653294	SRR2024995
SAMN03653295	SRR2024996
SAMN03653308	SRR2024890
SAMN03653267	SRR2024965
SAMN03653284	SRR2024984
SAMN03653200	SRR2024879
SAMN03653320	SRR2024904
SAMN03653307	SRR2024889
SAMN03653278	SRR2024977
SAMN03653274	SRR2024973
SAMN03653316	SRR2024899
SAMN03653243	SRR2024939
SAMN03653263	SRR2024961
SAMN03653254	SRR2024951
SAMN03653249	SRR2024945
SAMN03653218	SRR2024911
SAMEA2534419	ERR552110
SAMN03653310	SRR2024893
SAMN03653279	SRR2024978
SAMN03653289	SRR2024989
SAMN03653248	SRR2024944
SAMN03653265	SRR2024963
SAMN03653303	SRR2024885
SAMN03653237	SRR2024932
SAMN03653280	SRR2024980
SAMN03653266	SRR2024964
SAMN03653202	SRR2024913
SAMN03653309	SRR2024891
SAMN03653233	SRR2024928
SAMN03653270	SRR2024969
SAMN03653301	SRR2024883
SAMN03653269	SRR2024967
SAMN03653260	SRR2024958
SAMN03653281	SRR2024981
SAMN03653257	SRR2024954
SAMN03653315	SRR2024898
SAMN03653287	SRR2024987
SAMN03653246	SRR2024942
SAMN03653259	SRR2024956
SAMN03653283	SRR2024983
SAMN03653305	SRR2024887
SAMN03653232	SRR2024927
SAMN03653214	SRR2024907
SAMN03653211	SRR2024892
SAMN05001047	SRR3544730
SAMN03653204	SRR2024935
SAMN03653227	SRR2024921
SAMN03653201	SRR2024880
SAMN03653221	SRR2024915
SAMEA112803934	ERR11044250
SAMN03653225	SRR2024919
SAMN41724460	SRR29440731
SAMN03653297	SRR2024998
SAMN03653222	SRR2024916
SAMN03653229	SRR2024923
SAMN03653238	SRR2024933
SAMN03653236	SRR2024931
SAMN03653282	SRR2024982
SAMN03653262	SRR2024960
SAMN03653306	SRR2024888
SAMN03653242	SRR2024938
SAMN03653226	SRR2024920
SAMN03653223	SRR2024917
SAMN03653275	SRR2024974
SAMN03653230	SRR2024925
SAMN43780497	SRR30673055
SAMN03653264	SRR2024962
SAMEA3558666	ERR1035133
SAMN03653317	SRR2024900
SAMEA114089362	ERR11774989
SAMN03653215	SRR2024908
SAMN03653231	SRR2024926
SAMN03653300	SRR2024882
SAMN03653296	SRR2024997
SAMN03653258	SRR2024955
SAMN03653234	SRR2024929
SAMN03653244	SRR2024940
SAMN03653312	SRR2024895
SAMN41468791	SRR29094060
SAMEA3558557	ERR1035024
SAMN13937512	SRR11033753
SAMEA3558558	ERR1035025
SAMN13937587	SRR11033673
SAMN33243741	SRR23402841
SAMN13937520	SRR11033746
